ensgid	alias	pHaplo	pTriplo	pHaplo_decile	pTriplo_decile
ENSG00000007312	CD79B	0.588666558580984	0.267057843198455	6	3
ENSG00000007314	SCN4A	0.70772205487785	0.786082488891731	7	8
ENSG00000007341	ST7L	0.21054055902861	0.359130596598695	2	4
ENSG00000007372	PAX6	0.970576146703408	0.999997027107373	9	9
ENSG00000007376	RPUSD1	0.169007452372943	0.133872958996526	2	1
ENSG00000007384	RHBDF1	0.715093288975166	0.323217710534512	7	4
ENSG00000007392	LUC7L	0.957687490635213	0.397881590319256	9	5
ENSG00000007402	CACNA2D2	0.793993564795521	0.954340552273175	7	9
ENSG00000007516	BAIAP3	0.363878030231324	0.0732479081767222	4	0
ENSG00000007520	TSR3	0.115510874921718	0.319528098341544	1	4
ENSG00000007541	PIGQ	0.270529754832485	0.206835580518543	3	2
ENSG00000007866	TEAD3	0.962659710911068	0.804209590161384	9	8
ENSG00000007908	SELE	0.283303939925634	0.188062617321598	3	2
ENSG00000007923	DNAJC11	0.984789830294661	0.806238315664294	9	8
ENSG00000007933	FMO3	0.0697214191796022	0.236986419961123	0	3
ENSG00000007944	MYLIP	0.885412770072198	0.632281849891515	8	7
ENSG00000007968	E2F2	0.604996029654986	0.165502682368795	6	1
ENSG00000008018	PSMB1	0.997877936261069	0.914427559770982	9	8
ENSG00000008083	JARID2	0.997070792403926	0.992354235182958	9	9
ENSG00000008118	CAMK1G	0.639264745833142	0.421704189215487	6	5
ENSG00000008128	CDK11A	0.446606803464444	0.596921903923059	5	7
ENSG00000008130	NADK	0.38990184751562	0.757006280621599	4	8
ENSG00000008196	TFAP2B	0.996547073694871	0.998982863553268	9	9
ENSG00000008197	TFAP2D	0.890289849965879	0.865536428459589	8	8
ENSG00000008226	DLEC1	0.248085669820814	0.306639177155848	3	4
ENSG00000008256	CYTH3	0.926911591683104	0.999709407685163	8	9
ENSG00000008277	ADAM22	0.504379601927981	0.670533986053826	5	7
ENSG00000008282	SYPL1	0.595391337978058	0.201782451565854	6	2
ENSG00000008283	CYB561	0.452524661484901	0.513323384842594	5	6
ENSG00000008294	SPAG9	0.989447580012823	0.967132367428361	9	9
ENSG00000008300	CELSR3	0.690054565534109	0.930165492407149	7	9
ENSG00000008311	AASS	0.407937703380629	0.195051311761144	5	2
ENSG00000008323	PLEKHG6	0.616382840022246	0.317766309158645	6	4
ENSG00000008324	SS18L2	0.292635970997082	0.146194108836811	3	1
ENSG00000008382	MPND	0.32765470603859	0.438253305724825	4	5
ENSG00000008394	MGST1	0.215633774393925	0.11397766676779	2	1
ENSG00000008405	CRY1	0.610932424984267	0.616381523055434	6	7
ENSG00000008438	PGLYRP1	0.125922962460499	0.17405406392153	1	2
ENSG00000008441	NFIX	0.989186389501741	0.951622337394689	9	9
ENSG00000008513	ST3GAL1	0.896284520608508	0.415322842547473	8	5
ENSG00000008516	MMP25	0.249844294751296	0.130414246556294	3	1
ENSG00000008517	IL32	0.444217129744405	0.965014477026084	5	9
ENSG00000008710	PKD1	0.369573840134652	0.514750680395562	4	6
ENSG00000008735	MAPK8IP2	0.984736723673335	0.999832768103664	9	9
ENSG00000008838	MED24	0.299640486857613	0.820389285467608	3	8
ENSG00000008853	RHOBTB2	0.480603550045212	0.819246107837364	5	8
ENSG00000008869	HEATR5B	0.597791938934123	0.366748997564462	6	5
ENSG00000008952	SEC62	0.935950311158047	0.756197615040592	9	8
ENSG00000008988	RPS20	0.213917035392957	0.28247528138157	2	3
ENSG00000009307	CSDE1	0.978780896026702	0.980226135902641	9	9
ENSG00000009335	UBE3C	0.993059862526027	0.858930955792129	9	8
ENSG00000009413	REV3L	0.987813580169109	0.808996411646076	9	8
ENSG00000009709	PAX7	0.95251365642725	0.994539441479076	9	9
ENSG00000009724	MASP2	0.843977995854897	0.486497640837283	8	6
ENSG00000009765	IYD	0.501622620710611	0.187080103014122	5	2
ENSG00000009780	FAM76A	0.430321210466155	0.625071078946111	5	7
ENSG00000009790	TRAF3IP3	0.592233507870972	0.153847741204631	6	1
ENSG00000009830	POMT2	0.521219211137788	0.348084307228783	6	4
ENSG00000009844	VTA1	0.711261464362151	0.274952742489025	7	3
ENSG00000009950	MLXIPL	0.611149922419152	0.687391701392569	6	7
ENSG00000009954	BAZ1B	0.986166653925798	0.998383804871209	9	9
ENSG00000010017	RANBP9	0.988766640191901	0.95451914306292	9	9
ENSG00000010030	ETV7	0.317380326258617	0.509729969733697	4	6
ENSG00000010072	SPRTN	0.99068414688573	0.909864608715305	9	8
ENSG00000010165	METTL13	0.408711718968641	0.695454153722077	5	7
ENSG00000010219	DYRK4	0.64586133309899	0.152176882092891	6	1
ENSG00000010244	ZNF207	0.747834431679271	0.67088537116844	7	7
ENSG00000010256	UQCRC1	0.137724276598296	0.608174445170459	1	7
ENSG00000010270	STARD3NL	0.138871078532035	0.19748299655302	1	2
ENSG00000010278	CD9	0.59196668393142	0.180669153177535	6	2
ENSG00000010282	HHATL	0.563562187262033	0.656035886447466	6	7
ENSG00000010292	NCAPD2	0.850077069476098	0.448085257215331	8	5
ENSG00000010295	IFFO1	0.314751258536975	0.274983454475392	4	3
ENSG00000010310	GIPR	0.253968251951564	0.351574978152658	3	4
ENSG00000010318	PHF7	0.175608821520998	0.238507821883196	2	3
ENSG00000010319	SEMA3G	0.180562702728578	0.27885834206612	2	3
ENSG00000010322	NISCH	0.647379992765839	0.948124958753079	6	9
ENSG00000010327	STAB1	0.220785149958605	0.397446198461865	2	5
ENSG00000010361	FUZ	0.316945186105929	0.302450252938385	4	4
ENSG00000010379	SLC6A13	0.788724482829157	0.0515835790177779	7	0
ENSG00000010438	PRSS3	0.54090894680126	0.893765045843729	6	8
ENSG00000010539	ZNF200	0.192812589985847	0.0131455796687726	2	0
ENSG00000010610	CD4	0.505219457350926	0.622522361048308	5	7
ENSG00000010626	LRRC23	0.461217320929696	0.295064116005683	5	3
ENSG00000010704	HFE	0.214387054992073	0.164906609436994	2	1
ENSG00000010803	SCMH1	0.576658471142381	0.891768173591679	6	8
ENSG00000010810	FYN	0.923755150827036	0.983640854737723	8	9
ENSG00000010818	HIVEP2	0.997770109669236	0.924940019311312	9	9
ENSG00000010932	FMO1	0.416009276425399	0.447877106436299	5	5
ENSG00000011009	LYPLA2	0.362475830548364	0.890792016853105	4	8
ENSG00000011021	CLCN6	0.848675048230829	0.58690511793554	8	7
ENSG00000011028	MRC2	0.976103357999929	0.922222310965978	9	9
ENSG00000011052	NME1-NME2	0.315274365008641	0.421807599729141	4	5
ENSG00000011083	SLC6A7	0.346970441665894	0.388776176557682	4	5
ENSG00000011105	TSPAN9	0.971378739246356	0.124981496205808	9	1
ENSG00000011114	BTBD7	0.917981662026203	0.448076927410208	8	5
ENSG00000011132	APBA3	0.369542382322258	0.977216821604729	4	9
ENSG00000011143	MKS1	0.359769241816538	0.470960733791279	4	6
ENSG00000011198	ABHD5	0.327797972223462	0.184731560461317	4	2
ENSG00000011243	AKAP8L	0.441085873961463	0.731595226783563	5	7
ENSG00000011258	MBTD1	0.992810714313659	0.999538208474746	9	9
ENSG00000011260	UTP18	0.726804625877399	0.577949168878569	7	6
ENSG00000011275	RNF216	0.642359076485238	0.416262823224136	6	5
ENSG00000011295	TTC19	0.374291661789939	0.221763475664217	4	2
ENSG00000011304	PTBP1	0.972957634246424	0.664994099658302	9	7
ENSG00000011332	DPF1	0.712114723636761	0.95771240449462	7	9
ENSG00000011347	SYT7	0.830775072502446	0.969485763863591	8	9
ENSG00000011376	LARS2	0.295310604894599	0.482122908041136	3	6
ENSG00000011405	PIK3C2A	0.884030255722712	0.52293587425951	8	6
ENSG00000011422	PLAUR	0.179924644299404	0.500695881867312	2	6
ENSG00000011426	ANLN	0.81298010942211	0.460710155637151	8	5
ENSG00000011451	WIZ	0.881352786344571	0.963817441822989	8	9
ENSG00000011454	RABGAP1	0.987211965456092	0.979927318004407	9	9
ENSG00000011465	DCN	0.537763500842584	0.203825323630753	6	2
ENSG00000011478	QPCTL	0.417232539728716	0.460261045203815	5	5
ENSG00000011485	PPP5C	0.862783860660033	0.999715103243451	8	9
ENSG00000011523	CEP68	0.490313672407372	0.258234671325234	5	3
ENSG00000011566	MAP4K3	0.911258363836674	0.484811168040961	8	6
ENSG00000011590	ZBTB32	0.215978384906952	0.269667869013668	2	3
ENSG00000011600	TYROBP	0.101141527979143	0.0973933330491567	0	0
ENSG00000012048	BRCA1	0.282374740223128	0.620028553615501	3	7
ENSG00000012061	ERCC1	0.290579938219986	0.926603359077658	3	9
ENSG00000012124	CD22	0.696777134868196	0.473583116308597	7	6
ENSG00000012223	LTF	0.462899727934425	0.302663315109454	5	4
ENSG00000012232	EXTL3	0.650623111653555	0.402521065923333	6	5
ENSG00000012504	NR1H4	0.518718430514445	0.748937915722953	6	8
ENSG00000012660	ELOVL5	0.502805260416857	0.387173367419895	5	5
ENSG00000012779	ALOX5	0.249024917109752	0.244589430662842	3	3
ENSG00000012822	CALCOCO1	0.171582232306161	0.583557256220999	2	7
ENSG00000012963	UBR7	0.923552960246607	0.779389642300625	8	8
ENSG00000012983	MAP4K5	0.694050389453023	0.332401434761154	7	4
ENSG00000013016	EHD3	0.484418994733114	0.340940532425027	5	4
ENSG00000013275	PSMC4	0.433477694425442	0.998056257558695	5	9
ENSG00000013288	MAN2B2	0.288319313637823	0.405060122191305	3	5
ENSG00000013293	SLC7A14	0.478153798498437	0.429619749500605	5	5
ENSG00000013297	CLDN11	0.854329660237463	0.840947591071091	8	8
ENSG00000013306	SLC25A39	0.151103930154133	0.21170005479795	1	2
ENSG00000013364	MVP	0.164580469507002	0.670188736744884	2	7
ENSG00000013374	NUB1	0.737363815194842	0.654277180599964	7	7
ENSG00000013375	PGM3	0.337988695286763	0.548847483536607	4	6
ENSG00000013392	RWDD2A	0.123260544265476	0.217690993660466	1	2
ENSG00000013441	CLK1	0.674059393597105	0.505662595217327	7	6
ENSG00000013503	POLR3B	0.741921841743899	0.833630443884222	7	8
ENSG00000013523	ANGEL1	0.50034769619537	0.465633754736415	5	6
ENSG00000013561	RNF14	0.408755799209985	0.687888809068107	5	7
ENSG00000013573	DDX11	0.527768703731624	0.3528700527799	6	4
ENSG00000013583	HEBP1	0.597341231568348	0.346599759187993	6	4
ENSG00000013588	GPRC5A	0.595235486751025	0.154650072919956	6	1
ENSG00000013725	CD6	0.16436828170572	0.204865527468284	2	2
ENSG00000013810	TACC3	0.63938453811443	0.906564752276891	6	8
ENSG00000014123	UFL1	0.265385745106152	0.304642826914474	3	4
ENSG00000014138	POLA2	0.123783100907302	0.462929671865799	1	6
ENSG00000014164	ZC3H3	0.370676518066205	0.522329670635778	4	6
ENSG00000014216	CAPN1	0.302880851942933	0.9423954772682	3	9
ENSG00000014641	MDH1	0.876823482126495	0.782817563932903	8	8
ENSG00000014824	SLC30A9	0.659968768253299	0.337809525645971	7	4
ENSG00000014914	MTMR11	0.144067416812716	0.444892862123019	1	5
ENSG00000014919	COX15	0.542884202879447	0.334880488819337	6	4
ENSG00000015133	CCDC88C	0.937048767121421	0.266171290216867	9	3
ENSG00000015153	YAF2	0.391325943154662	0.691093905705263	4	7
ENSG00000015171	ZMYND11	0.995677776040881	0.330369929868638	9	4
ENSG00000015413	DPEP1	0.566383115747013	0.215309010794898	6	2
ENSG00000015475	BID	0.186158722990322	0.953958314387451	2	9
ENSG00000015520	NPC1L1	0.201708561633935	0.359824618243744	2	4
ENSG00000015532	XYLT2	0.405946576491472	0.836361347882421	5	8
ENSG00000015568	RGPD5	0.0988335910217839	0.549193968587701	0	6
ENSG00000015592	STMN4	0.201017861010865	0.513411293794249	2	6
ENSG00000016082	ISL1	0.954598599806385	0.84543634798156	9	8
ENSG00000016391	CHDH	0.45571613587047	0.298074582552771	5	4
ENSG00000016402	IL20RA	0.699934126595351	0.522117244117654	7	6
ENSG00000016490	CLCA1	0.165734499390339	0.264876230659787	2	3
ENSG00000016602	CLCA4	0.269038538148198	0.181497299757254	3	2
ENSG00000016864	GLT8D1	0.252937220777134	0.429644738242273	3	5
ENSG00000017260	ATP2C1	0.932947414493093	0.851449405484346	9	8
ENSG00000017427	IGF1	0.874142848009153	0.731545008663174	8	7
ENSG00000017797	RALBP1	0.656210628518668	0.713272593382392	7	7
ENSG00000018189	RUFY3	0.362024787976275	0.571682226567575	4	6
ENSG00000018236	CNTN1	0.563355929899832	0.392824873551228	6	5
ENSG00000018280	SLC11A1	0.208823755316532	0.125536464449125	2	1
ENSG00000018408	WWTR1	0.930802651255057	0.840692699328657	8	8
ENSG00000018510	AGPS	0.903082254019671	0.949722791363057	8	9
ENSG00000018625	ATP1A2	0.439195259547152	0.886994066653496	5	8
ENSG00000018699	TTC27	0.391983774934046	0.0545855494729051	4	0
ENSG00000018869	ZNF582	0.246104208557183	0.0544119278604326	3	0
ENSG00000019102	VSIG2	0.732130005470097	0.283160609217641	7	3
ENSG00000019144	PHLDB1	0.910620749685669	0.797733510945665	8	8
ENSG00000019169	MARCO	0.0963126079240854	0.118491050515669	0	1
ENSG00000019186	CYP24A1	0.458930272335268	0.0840465548764478	5	0
ENSG00000019485	PRDM11	0.9267641496594	0.966210405724516	8	9
ENSG00000019505	SYT13	0.327002309376558	0.429281308948122	4	5
ENSG00000019549	SNAI2	0.906293311438305	0.351687304265946	8	4
ENSG00000019582	CD74	0.679731465275123	0.293678752284356	7	3
ENSG00000019991	HGF	0.88054613920105	0.834148056073942	8	8
ENSG00000019995	ZRANB1	0.980536380790872	0.980194577879171	9	9
ENSG00000020129	NCDN	0.92267234937864	0.992769630910632	8	9
ENSG00000020256	ZFP64	0.879030951431755	0.40097431286101	8	5
ENSG00000020426	MNAT1	0.18602670246973	0.494006157522052	2	6
ENSG00000020577	SAMD4A	0.986158143670968	0.989346445789062	9	9
ENSG00000020633	RUNX3	0.937102396547649	0.807501151523143	9	8
ENSG00000021300	PLEKHB1	0.22247982148421	0.11652444714322	2	1
ENSG00000021355	SERPINB1	0.737768139723352	0.204360318408735	7	2
ENSG00000021461	CYP3A43	0.0610768581152963	0.645453240488189	0	7
ENSG00000021488	SLC7A9	0.145627132861121	0.260156747463026	1	3
ENSG00000021574	SPAST	0.975249758557254	0.813154103621217	9	8
ENSG00000021645	NRXN3	0.966949728727014	0.872663609470597	9	8
ENSG00000021762	OSBPL5	0.482443260384988	0.105973666310258	5	0
ENSG00000021776	AQR	0.885070656750147	0.913865864272119	8	8
ENSG00000021826	CPS1	0.809569271072532	0.34153211758214	8	4
ENSG00000021852	C8B	0.427808781423024	0.130829929492101	5	1
ENSG00000022355	GABRA1	0.639166044397065	0.536370263510489	6	6
ENSG00000022556	NLRP2	0.0771322391699828	0.0521724316095714	0	0
ENSG00000022567	SLC45A4	0.759623694063821	0.0748196591121264	7	0
ENSG00000022840	RNF10	0.8275594314612	0.750584600354292	8	8
ENSG00000022976	ZNF839	0.68585635452985	0.355545123323248	7	4
ENSG00000023041	ZDHHC6	0.797811217276412	0.237065750686553	7	3
ENSG00000023171	GRAMD1B	0.899982503699639	0.858060600743461	8	8
ENSG00000023191	RNH1	0.338052145296305	0.719598976897797	4	7
ENSG00000023228	NDUFS1	0.822015411463964	0.430319584191258	8	5
ENSG00000023287	RB1CC1	0.966485870122264	0.268738148074137	9	3
ENSG00000023318	ERP44	0.816917015179705	0.668233279440146	8	7
ENSG00000023330	ALAS1	0.29722378303152	0.901816865683743	3	8
ENSG00000023445	BIRC3	0.618113752771966	0.466336667711653	6	6
ENSG00000023516	AKAP11	0.87748330418266	0.760902935898862	8	8
ENSG00000023572	GLRX2	0.216887201074036	0.168154339594904	2	1
ENSG00000023608	SNAPC1	0.36775625971118	0.0966055002500862	4	0
ENSG00000023697	DERA	0.349336983945801	0.30806330615276	4	4
ENSG00000023734	STRAP	0.970534129269323	0.799277480633687	9	8
ENSG00000023839	ABCC2	0.387096217254467	0.175910534264833	4	2
ENSG00000023892	DEF6	0.756966754887197	0.669174173532403	7	7
ENSG00000023902	PLEKHO1	0.280528659804633	0.441252234251636	3	5
ENSG00000023909	GCLM	0.652156352662208	0.404765870866355	6	5
ENSG00000024048	UBR2	0.969677429186097	0.994211967337396	9	9
ENSG00000024422	EHD2	0.61599050733303	0.742670882094607	6	8
ENSG00000024526	DEPDC1	0.379574351640635	0.106023153671077	4	0
ENSG00000024862	CCDC28A	0.319645551643742	0.184747024258837	4	2
ENSG00000025039	RRAGD	0.818113719540397	0.780941184226516	8	8
ENSG00000025156	HSF2	0.944804769394953	0.796243264293298	9	8
ENSG00000025293	PHF20	0.468386334787384	0.894043405419962	5	8
ENSG00000025423	HSD17B6	0.259004620412349	0.378195637152537	3	5
ENSG00000025434	NR1H3	0.483216505092678	0.874026866316657	5	8
ENSG00000025708	TYMP	0.912015065482651	0.074278189012556	8	0
ENSG00000025770	NCAPH2	0.937270266191558	0.122631032040821	9	1
ENSG00000025772	TOMM34	0.127564234648136	0.354761466303204	1	4
ENSG00000025796	SEC63	0.472619003311861	0.482726624119458	5	6
ENSG00000025800	KPNA6	0.871517904918207	0.999934925750399	8	9
ENSG00000026025	VIM	0.907765433791187	0.506923235034282	8	6
